user,XRD_Volume,swaps
rdx1qspy9gemudg76lm5569dgky0reshg6kzl2d44nsy4t8syzcmzrcq2xs4vcvhw,18120.014645002073422042,46
rdx1qsp30a948nxzkm6wketqe35uqh66hxrcr024nnfc2x0yp3t0we6dzasnr49cq,17674.321526192775888557,50
rdx1qspzksz0k6ngyyycnvhpg9hhd6u3y3c40kney508uvn3y3nyzg36kygp777hx,17481.501526709357764001,50
rdx1qsp6qg8pavyslfj9xma35gr8zw2e3l7fzf3u3txam2c0fkw9xnt2fhcu4jhev,17288.315721971012919216,31
rdx1qsp3agrzkd0exdjmyzw9c878nyeuk3xf0w32m7m64vrmq8mqvwnghcqgxqve6,17224.738601752555310460,160
rdx1qspe5a44amn67rzfhu8ug05hnrw2wsq2utg5nngdul8yanksj2ul82g2tkj8q,17166.293101979067823773,81
rdx1qspkm7z9q6xr8hfathj2y3flvd0q4ruuc82dz8wffzu3wjpt94agrssdwqxya,16702.806669043511131524,124
rdx1qspr54v6u7pj0usm63t4n5kvsjktna2vyhtrhrf7zz09d69dqp4322qxk37d5,16317.105697581540986870,39
rdx1qsp9j7duncl845762v2x62c5yhjrhvr0wln4x743kh02rvgd5e9sp8s3c24tl,16240.327073735378700342,40
rdx1qsp264077zykd5xm9rj9l07aqmuh7yhf5jz0r9m36edyxcmtk0q832spkfndu,16212.204386655077439210,51
rdx1qspuse3mdxmpnxsur6w9c3y5pwpchr0sh87xwwf4hf2ds60eljw0sjsejpeee,16104.953808425317250957,59
rdx1qsp9jyvv7twmcn96pfgkvz4dwquwzn9qkmglmqs2krxf4j52n89x89qdzp7g0,16019.781331695364967163,32
rdx1qsp8yaur3lpjv3cmlez3yee99jcc2c26ypw7qgnwwvjms2f550gnpycxuzq37,15814.210932512607131722,42
rdx1qspn9glvcvt4xg9zuza84c4d9jmmkzs5ern5rmy8xgxg6mndk702s9su5qyma,15469.000000000000000000,31
rdx1qspk3gcpeyyq72cqw69y68c0zlqr9a2489mgemz4y033l7rl5qnljzgwv3y0q,15410.316143258527480893,55
rdx1qsp8ux6w68rej7ytqz3md0lmvmcqnqcazq3w3vl8e6qk6zw00e7vj2qmhphpg,14950.000000000000000000,35
rdx1qsplvyn3j4d520zyhpz80yvl067p8jcpcjr9dauurewdx4ujyq7mx7ghp0xng,14222.253636739747274083,22
rdx1qsph34axe5tylns07w09h8t7uralj7kmydjf0gs8tjhdl9gdh6dw6hcjw2eat,14122.254037169522780195,21
rdx1qspzgxla6jpq577x05f8eyfzwstnml6q440qpr734ymur6j8wuza5wc3lfqka,14001.674230385984696000,17
rdx1qspjefam4vk30uxq9y7re9lm8nc9deeupq7xj73566p9sgzgkyzv79c766xfd,13717.566123294017899269,32
rdx1qspg8prt8urpqkehxaalt3amv66p22eg8qte7etrgcfdueqmt8ul94c5cxeta,13444.330457179745210252,122
rdx1qsp5cutm23ln07fscqwvkl7z0p8n259nvwxcj9x734yr83p34z8vhuqfdyxlq,13392.459627017214738234,57
rdx1qsp35ncg6qxazy0sqxjhdsr7tdj53a4t3ynjz77hzuhy4v2h74d2kuc7l88m7,13328.402285782028600395,44
rdx1qspuj5y3e2rzr6jd3lnkar4g9sncj3j20pf66hq05chc96ey8e5nzjc9es2cw,13017.298815119973111073,49
rdx1qsph2zx0dsu58p3gpc0rfp925wth63lzzwp0xr5vj92aencpj4y89qsysfvr6,12950.000000000000000000,26
rdx1qsp7nnzys6xtcw9rj0uv9h868ee68nmmmr7h322e5rnx3y62j6va47s4u4ul9,12840.726054489093221461,10
rdx1qspu2767p9s8qs5llprkfx84wlcwf8nygqjc7xdhc6aevkpl84n3w0cz2wgku,12745.808711138889552738,40
rdx1qsp8p80czg8f7hngaka9xtxzkde0508gqty9qspu7jnpxu92dlxyhlshhl2am,12738.133209452968772582,51
rdx1qspql7u8sl0cacehwzjll983n3zjvdjajxppakwu3n7f07l35ukzg0gmyk6fq,12716.343416139392562676,57
rdx1qspna44t97w3t7h5gxxngd5nktdsakl28a63v5a82rakss3y59servcxjsg2n,12633.427942979240059360,61
rdx1qspxq7l8vhymmgsqzwq9gnw088djv07yr5ggcx3kurrdekt08nwu8fqvcpwcy,12499.109722985961695957,11
rdx1qsp5pue2exnpmvrg4x05nt4dlqljkfq2wdpt8nadfkdgz8px6v5rk2g77gxhw,12279.510520982999636366,27
