address,total_staked
rdx1qspm26np7m509rdmakx5rkew4ygsnf4qtstzfj2t0r6m5s6wdutzymcmwxsu9,3557402.85594
rdx1qspk538qnrw6dg2kn9rrfy6n9dvqyx5234q2ywx568ztqjkxlvn6c6qqrkcef,3454657.24835
rdx1qspqx3ut7upmnsyf9aw62nu4n95s6pzy2spcr54nzcjcxehw92cxmcgc644qj,3434986.18032
rdx1qsp09yujn5u0wna3vvhfy6v50zmwrdngdj0r6j23syyglvtur65nxccsy4h8r,3364019.12039
rdx1qspkhz9nj67hf2g5excelj2cwxql3tkgr39eck4ktwxytsmwk0y4l5gc869hf,3225046.84428
rdx1qspdd2y5juzgssnqcy5edy0m02le6hmp90n3zp823h6asy2n3d042jc6umwrn,3212670.04261
rdx1qsp4fp3qs7s0vl3nljja9l68lddvzhfrnmf4szmmxg6eyq23f9y5s7ccpm7ew,3185661.20934
rdx1qspn54l3apwssalhj0yg8h3slycr5e3xdv0an79c2e0gpeqslqzptgq5kg37v,3152013.94243
rdx1qspzns0wp0dzt05ft4r6kj3yl747tw35skgfj909skswqldapu4u0tcyw83a4,3061954.05904
rdx1qspx6rfezdmrp3gv8nqxwm3p4nqd5n6rslskuu2eh5mf25h4kpv3n4qknr3w7,3032112.93435
rdx1qsp3f6rpw6s4r6khqrqk0hak00gdfk0lvwy3gdre626j0kvvg7vhmfsh0nrqq,3021663.89386
rdx1qsp6rt5uqn5f09mk4y0wrk0g9vs4ld8x79kgawg8tf8sn7mdcsazuqg6mmy9w,2930092.91007
rdx1qsp0zumlnvkz2vy863l0uupynyfkga65jdyquj6ckuh6z3ppeuqvy2s933jr8,2841650.37351
rdx1qspgf0uu24ypue5frrjfs8yjlh9ltq328j0r7c9hzwmxxc7wphtld3st4nmkj,2838061.15365
rdx1qspsxupu36cksh7xjfvhmgyalurnuztsg0a32zdyfx3mqm6unptfpssnvzyj5,2815605.39649
rdx1qspae2jqagzm3r7lqcavsgqegwc7pdym54j3dshzmec60rqaqxqgl7cwupxpr,2678826.49035
rdx1qsplfu4uj5e8mtyp0rvxnhqluqcuzfkm99jrygewx0eqkhmzcnvmkfcmlq2qt,2562806.33852
rdx1qspfa0l6jmze2yr9fg6llcatm23t9wmflc3ecjfr0700w7jkgengfagcfe8s6,2559626.29921
rdx1qspu90kuctvwcat29hrl0esxnvpnccu5cl0mf069zadmje885rx47jger0luq,2516372.06443
rdx1qsp07tmv4sl54uwwwse0nckgmalxje6equu4y8rxve6fljq4yvdyvfc0hte7a,2479726.6286
rdx1qspzryy6w6psq7gk998pcmd3tl4na5sjxke7yjj0jlzhufrrqvehf3qxt62v4,2427871.64523
rdx1qsp8ux6w68rej7ytqz3md0lmvmcqnqcazq3w3vl8e6qk6zw00e7vj2qmhphpg,2426840.7915
rdx1qsplldz3cyl24vc3wd06hkwsn9czmqmj2jefdxxjczwmdxzw5dccnjglex4mj,2386258.48245
rdx1qspdgqfp88t0atjd95q5sxhh5crlu2wgrlpluyr8c5yggwtf7fckkrsr2afl5,2369788.14199
rdx1qsph3mdq7g02nul0wclnq6hnc5wzm6vc88925a4fe9097msl0sfz30cgyc5y0,2368049.81196
rdx1qspknxlh8ltm2ugk5psn24z0f5wmmkl8vlp3rnf9ujfqemm5tnnl3rglpm5dm,2355691.83381
rdx1qsp0x965eyapfnr8ux53xr448ws2jhcnld0972er670nk3wm890jfcg29d52v,2355140.85518
rdx1qspz9f0canja0cnh0t06luc6kcmrgnwhz5juca07djagal33tls58dsnl599d,2343653.54508
rdx1qsp9t307f4zzmyfgwktx3473qxjwdfm24q9657fyrju9j4da9clwetg6yp0gf,2297834.46708
rdx1qsp5fshu4k9nmv8n34jllsdldyqu9kjd6nr3vta6p34y6nt86dzxalct9rtzq,2270695.36279
rdx1qspj05wcx4rc2p3hkjyfvvulcgfnsl7p02kmvscn8prhmywtw4sac0scss7w6,2266652.17856
rdx1qspgn4q9mhtuqz60t6927s8nz223e8gvc0t8w0a7ndr220w268nk42gkfqnn4,2259109.01551
rdx1qspge00tscj5n4k705yt37q3jqygp5prnknnta9579gxp88cqmwkgfgljek4g,2247714.66602
rdx1qspq978neqcc5xs4p3knfjz3p5nsu5c0337l2552tlsmfeureym4c8ct77na6,2247160.2205
rdx1qspskfmlysjhf3g6uta0h2s4slt2scpc0nmqyf4knxd20h68z8q8nyq3rmk8w,2217616.00528
rdx1qspvqxv0xrvwham895zjemap0lzykge953df3ud3g9q3z8a9w7ha8uqznpn07,2192107.53674
